,Input,Output
"
34,Which element is present that is bonded to all of the carbons in a saturated fat?,"	hydrogen
"
35,What are Jehovah Witnesses allowed to accept at their discretion? ,"	blood plasma fractions
"
36,What Arabic book is Ibn Tufail noted for writing?,"	Hayy ibn Yaqdhan (Philosophus Autodidactus)
"
37,What year was the last Democrat for president supported?,"	1992
"
38,How long is the term for council members?,"	four-year terms,
"
39,What era utilized Greek theories?,"	the Hellenistic age
"
40,"As the Second Army pushed into Ravine, the XII Corps cleared out which adjacent town?","	Roncourt
"
41,What university was Lok-Ham Chan a professor at?,"	the University of Washington
"
42,What do Muslims think of Christianity?,"	comparing it to polytheism
"
43,What recent Asian ancestry do some Marshall Island residents have?,"	Japanese
"
44,When did the number of boarding bridges at Brasilia's airport nearly double?,"	2014
"
45,Who has been designated as the first Emperor of Rome?,"	Octavian
"
46,What attributes make universal motors desireable for consumer applications like hair dryers?,"	high speed and light weight
"
47,What areas were the first places colonized by the Portuguese?,"	the rivers and coast
"
48,In what century was Eisenhower born?,"	19th
"
49,What has pleased western historians?,"	to write of a decline of the Ottoman Empire
"
50,To what did Joseph Bédier attribute the prevalence of the stemmatic method?,"	editors tended to favor trees with two branches
"
51,In which season was Bo Bice a contestant on American Idol?,"	Season four
"
52,What type of organization behaves much like a foundation?,"	a supporting organization
"
53,What type of event did the Klan intend to have at Notre Dame in March of 1924?,"	a week-long Klavern
"
54,What is  a plant scientist called?,"	A botanist
"
55,Why were the protesters arrested?,"	tried to camp on the village green
"
56,What symbol did Abu Muslim use in his revolt against the Umayyads?,"	black flag
"
57,What do insects receive in return for pollination?,"	energy rich nectar
"
58,How many years did it take to publish all three volumes of the Book of Mormon Critical Text?,"	the first volume of the 3-volume Book of Mormon Critical Text in 1984. The third volume of that first edition was published in 1987
"
59,"In what year was CU-SeeMe, a desktop-based videoconferencing tool, developed?","	1992
"
60,How many times have Premier League teams have won the Champions League since 1992-2013?,"	Premier League clubs had won the UEFA Champions League four times
"
61,What year did the cubs record a Major League record of 116 wins?,"	1906
"
62,Who strongly supposed ome scritto?,"	soprano Maria Callas
"
63,What career did Joan hold?,"	astrophysicist
"
64,What is the largest fire department force in the world?,"	Tokyo Fire Department
"
65,Why were there armor changes in the 1500s?,"	the advent of firearms, new fighting tactics and the need for additional protection
"
66,khorovïye kontsertï were typically done similar to what pieces?,"	Venetian-styled
"
67,When was the Polio vaccine created?,"	1954
"
68,What religious groups are primarily targeted by this war?,"	Islamic Extremist
"
69,"Other than a company, who else can own a character?","	the wrestler
"
70,Which other Ferry group works alongside the Alaska Marine Highway to coordinate travel?,"	The Inter-Island Ferry Authority
"
71,What metal was developed in south India during the time of the Mauryan Empire?,"	Wootz steel
"
72,How many prospective students received a mistaken email in July 2015?,"	400
"
73,Who bought the Oswald the Lucky Rabbit cartoons in 2006?,"	Disney
"
74,What is a more recent name for the smooth jazz format?,"	Smooth AC
"
75,Britain sent troops to aid Portugal.  What was the result?,"	the Anglo-Portuguese army, aided by guerrillas and practicing a scorched earth strategy, chased the greatly reduced Franco-Spanish army back to Spain
"
76,What was the price per square meter of 660 Madison Avenue in June 2007?,"	$15,887
"
77,Where can all the traditional costumes be seen parading on the Sunday of the festival?,"	in the street
"
78,How which calendar did some countries notate the date?,"	in both
"
79,Wang and Nyima believed horses were collected from Tibet as what kind of tax?,"	a mandatory ""corvée"" tax
"
80,What would anthropology use to differentiate man from the animals nearest him?,"	comparative anatomy, physiology, and psychology
"
81,Who make the Turks retreat back to Batum?,"	Eristov
"
82,What is Paris' top tourist attraction?,"	Notre Dame Cathedral
"
83,What theory did Nicholas Steno discover?,"	the theory of superposition
"
84,What are smalled ensambles composed of? ,"	two mandolins, mandola, and mandocello,
"
85,"As of 2012, how many physicians were working in New York City?","	43,523
"
86,What is the name of the Syrian actress who was one to bear the torch?,"	Sulaf Fawakherji.
"
87,How many locations can one use videoconferencing for?,"	two or more
"
88,What path is described as being built upon the motivation to liberate all living beings?,"	bodhisattva path
"
89,What Southampton festival culminates in the Boat Show?,"	Sea City
"
90,Suleiman the Magnificent had an important victory in what battle in 1526?,"	Battle of Mohács
"
91,How many miles was the Olympic torch relayed?,"	85,000 mi
"
92,What was the reason some electrifications were removed after a while?,"	through traffic to non-electrified lines
"
93,When did Panama's Department stores first start? ,"	at the turn of the nineteenth century
"
94,"What type of work are The Mystery of a Hansom Cab, Monkey Grip, and The Slap?","	novels
"
95,Who was elected as chief minister of the state of India?,"	Virbhadra Singh
"
96,What date did IBM announce that its executives would forgo bonuses for fiscal year 2013?,"	January 21, 2014
"
97,In what direction does the San Diego River run through the city?,"	east to west
"
98,Where did the tradition start which regarded Virgil as a great magician?,"	Naples
"
99,What year did the patent for lateral cut discs expire?,"	1919
"
100,What is the usually sold standard blend of bitumen and oils named?,"	Western Canadian Select
"
101,What is the length of 14th Street in miles?,"	2.1
"
102,What does the Kroc Institute at Notre Dame focus on?,"	International Peace studies
"
103,What strength of paper is produced by mechanical pulps?,"	weak
"
104,What disciplines were women trained in during the first century?,"	music, dancing and poetry
"
105,At what event were two new Final Fantasy games for PS3 first shown to the Japanese market?,"	TGS 2007
"
106,What type of heritage architecture is mainly displayed in Hyderabad?,"	Indo-Islamic architecture
"
107,Who controled Indochina in 1940?,"	Vichy France
"
108,What type of processor does the current iPod Touch use?,"	A8
"
109,What is 'Victor Talking Machine now known as?,"	RCA Victor
"
110,About how many passengers come through the Mexico City International Airport each year?,"	34 million
"
111,What is the hispanic make-up of the population?,"	12.3%
"
112,Of what does team Espanyol view Barcelona as a team ?,"	foreigners
"
113,Who is credited with the invention of the minute hand?,"	Jost Burgi.
"
114,What concept did the Law of Gravitation deal with?,"	the fundamental force of gravity
"
115,On what day was it announced CBC had lost exclusve rights to curling broadcasting?,"	June 15, 2006
"
116,Notre Dame students had a showdown in 1924 with which anti-catholic group?,"	the Ku Klux Klan
"
117,"Along with Bat and trap, what game is popular in south London pubs?","	Shove ha'penny
"
118,In what year did Claridge acquire patents for the use of asphalt?,"	1838
"
119,Which part of the Bible did Kerry find the most moving?,"	the Letters of Paul
"
120,Zn(OH)2 is dissolved to form what in strong alkaline solutions?,"	zincates
"
121,In what year did the practice of allowing non priests to become Cardinals stop?,"	1917
"
122,What groups remain today? ,"	Royal Estudiantina la Napolitaine (founded in 1904) in Antwerp, Brasschaats mandoline orkest in Brasschaat and an orchestra in Mons (Bergen).
"
123,What notable feature of the Red Lion reflects its parliamentary connection?,"	a Division bell
"
124,Where do most of the Asian immigrants come from?,"	China and South Korea
"
125,What is Apple's prefered video standard?,"	H.264
"
126,How much was the NBC broadcasting deal with the Premier League worth in 2015?,"	$1 billion
"
127,In what city did the Romans use verdigris in murals?,"	Pompeii
"
128,"in 1880, how many dance halls were in Paris?","	150
"
129,Which class of aircraft carriers is being constructed to replace the Invincible-class carriers?,"	Queen Elizabeth
"
130,When did parliamentary politics become irrelevant in Egypt?,"	late 1990s
"
131,Where can a remnant of improvisation tradition be found?,"	cadenza
"
132,Which former contestant replaced Keith Urban for auditions in New York City?,"	Adam Lambert
"
133,What were the effects of affirmative action on universities according to the study done by the AAUP?,"	positive effects on the educational outcomes and experiences of college students
"
134,In what year was The Night Cafe painted?,"	1888
"
135,What part of the city is Bannerman Park located by?,"	downtown
"
136,"What kind of law is the second law of thermodynamics, as it arises in statistical mechanics?","	not an absolute law
"
137,When did George IV die? ,"	1830
"
138,Pope Paul VI increse the number of cardinal electors to? ,"	120
"
139,Which rail station was the world's busiest passenger station in 1927?,"	Flinders Street Station
"
140,What percent of the deaths during the war were civilians?,"	About 60%
"
141,Visitors to what local valley often stop over in Plymouth?,"	Tamar Valley
"
142,Who sent armies across the Pruth River?,"	the Tsar
"
143,Who controlled the coast of China?,"	Wang Jingwei regime
"
144,What's the process in which knots are classified called?,"	grading
"
145,Where did Madonna take dance classes at in New York City?,"	Alvin Ailey American Dance Theater
"
146,How long do the current notes measure?,"	6.14 inches
"
147,What are some examples of notable organizations focused on scientific exhibitions?,"	Science Museum of the University of Coimbra, the National Museum of Natural History at the University of Lisbon, and the Visionarium
"
148,What Catholic university is in Detroit?,"	University of Detroit Mercy
"
149,Defected Records was at the forefront of what type of house music?,"	vocal house
"
150,Who is the lowest rank to play in the  third round proper?,"	Chasetown
"
151,How many feet tall was the proposed statue of Schwarzenegger?,"	82
"
152,What  the profession of Gian Carlo Menotti?,"	composer
"
153,WHo is the nephew of buda king casimer III the great?,"	Louis I of Hungary
"
154,What was the official election slogan in the first Namibia election?,"	Free and Fair Elections
"
155,What is ecclesiology?,"	the doctrine of the church
"
156,On what date did the Tuvan People's Republic join the Russian SFSR?,"	October 11, 1944
"
157,What did Steve Jobs offer Xerox to visit and see their latest technology?,"	Apple stock options
"
158,How many species have ever lived on earth?,"	over five billion species
"
159,In which year did Tennessee tourism first exceed 100 million visitors?,"	2014
"
160,Does sleep hurt a persons memory?,"	There have been several studies which show that sleep improves the retention of memory,
"
161,What was the average family size?,"	2.97 persons.
"
162,At what tournament in Miami is professional tennis played?,"	Sony Ericsson
"
163,For whom did Umar end the jizya?,"	converts to Islam
"
164,"Upon awakening to the true nature of the self, what is one is liberated from?","	suffering (dukkha) and the cycle of incessant rebirths (saṃsāra)
"
165,Beyonce received how many nominations at the 52nd Annual Grammy Awards?,"	ten nominations
"
166,What did the political parties request a brief stop in?,"	the National Assembly's session
"
167,What other culture did the Greek states share boarders with ?,"	these regions coincided to a large extent with the borders of the Byzantine Empire of the late 11th century
"
168,What was the time span of the Roman Republic?,"	509–27 BC
"
169,What does the personal copying exemption explicitly need?,"	was obtained legitimately
"
170,Who wrote 'Letter to American People' in 2002?,"	Osama bin Laden
"
171,Where are Popper's manuscripts kept now?,"	Hoover Institution at Stanford University
"
172,What pagan midwinter festival did the church find easier to subvert than eliminate?,"	Christmas
"
173,Union control of Middle Tennessee was reaffirmed by what battle in January 1863?,"	Battle of Murfreesboro
"
174,Who was ordered by the senate to become commander in the conflict with King Mithridates?,"	Lucius Cornelius Sulla
"
175,Einstein's paper on the photoelectric effect earned him the Nobel Prize in what year?,"	1921
"
176,Where were idioms and vocabulary imported from?,"	source languages
"
177,When was the first Czechoslovak Republic?,"	1918–1938
"
178,Name some side-effects?,"	diarrhea
"
179,how often did the Indian fleet voyage to Mocha?,"	annual
"
180,What methodology was in force when Greece submitted its membership qualification?,"	ESA79
"
181,"When did Beyoncé endorse on March 26, 2013?","	same sex marriage
"
182,What accident caused the delay in plans for the new nuclear power plant in Bern?,"	Fukushima Daiichi power plant in 2011
"
183,In what year was Richmond's First Baptist Church founded?,"	1780
"
184,Where were the Winter Olympics held in 1928?,"	St. Moritz, Switzerland
"
185,What was MIT originally known as?,"	Boston Tech
"
186,Where did the Olympics originate?,"	Olympia, Greece
"
187,What does Augustine call time in Confessions 11.26?,"	a “distention” of the mind
"
188,When did the capital of the Roman Empire move to Constantinople?,"	330 AD
"
189,What were the original boundaries?,"	the downtown streets of North, East, West and South streets
"
190,How many of Detroit's residential lots are are underdeveloped?,"	a quarter
"
191,What is the approximate number of international students studying in London?,"	110,000
"
192,Who was Queen Victoria's successor after her death? ,"	King Edward VII
"
193,How many sales of Keeping Up Appearances have been made to non-British buyers?,"	nearly 1000
"
194,What do the methods of ethnohistory go beyond the standard use of?,"	documents and manuscripts
"
195,Who were the 3 people who bought CBS Songs?,"	Stephen Swid, Martin Bandier, and Charles Koppelman
"
196,What did Kaypro CP/M computers use?,"	the ""upper"" 128 characters for the Greek alphabet
"
197,What are held together for a knuckle-space month count?,"	one's two fists
"
198,"What system did Arthur Cronquist put forth in 1968, but not publish in full form until 1981?","	The Cronquist system
"
199,Who issued a statement calling for North Korea's unconditional surrender?,"	MacArthur
"
200,Where does SR 75 flow primarily through?,"	San Diego Bay
"
201,"Due to Victorias mourning over Alberts death, what political party gained strength?","	republicanism
"
202,What is zinc's atomic number?,"	30
"
203,What is a notable characteristic of Somali art?,"	aniconism
"
204,What format was less common but could sometimes be found on home stereos?,"	16 2⁄3 rpm
"
205,What was the real name of the artist Mayday?,"	Derrick May
"
206,How much money did videoconferencing help this rural area save?,"	$10,000 per transfer
"
207,During what time was the cold war close to happening?,"	1980s and the early 1990s
"
208,Who amassed a collection 8000 crystals?,"	David Friedrich Wiser
"
209,North Carolina was the twelth state to ratify what document?,"	the Constitution
"
210,Some of the walls around which landmark were demolished in the 1930s?,"	the Bargate
"
211,What language texts  are as much as 70% Sanskrit?,"	Telugu
"
212,Which river serves as drainage for the southwest plain of the Congo?,"	Kouilou-Niari River
"
213,What song on Beyoncé's fifth studio album featured her husband?,"	Drunk in Love
"
214,From when did the Marshallese migrate from the Asian continent?,"	several thousand years ago
"
215,In what year was one of the original Myanmar kingdoms restored?,"	In 1740, the Mon of Lower Myanmar founded the Restored Hanthawaddy Kingdom
"
216,What did the China Digital Times report?,"	a close analysis by an alleged Chinese construction engineer
"
217,"In antiquity, most Jews in Gaul or Germany probably occupied what two roles?","	traders or artisans
"
218,What was the Torah im Dereche Eretz aslo known as?,"	neo-Orthodoxy
"
219,How many types of Guna exist in Hindu philosophy?,"	three
"
220,What did sociology in science explain?,"	the ways in which scientists work
"
221,Typical church congregations on Norfolk Island as of 2010 don't exceed what number?,"	30
"
222,What kind of oak has just 6-10% volume of large vessels in the log?,"	good
"
223,What led to exclusively female bodies of Freemasons in England?,"	Disagreements over ritual
"
224,What created a primordial atmosphere on earth?,"	Outgassing and volcanic activity
"
225,What slowed down the growth of solar energy?,"	the outbreak of World War I and the discovery of cheap oil
"
226,"If you need a date of four days less, what do you subtract from the Julian calendar?","	-4
"
227,What is the term that described a government based on the rule of law?,"	nomocracy
"
228,What is the name given to the highly congested spot where Interstates 5 and 805 meet?,"	The Merge
"
229,In what country is St. John's located?,"	Canada
"
230,Analysts expect the market to triple by what year?,"	2030
"
231,What was the earlier name of Hobby Airport?,"	Houston International Airport
"
232,Which country took over Iran's territories in the Caucasus in the 19th Century?,"	Imperial Russia
"
233,What type of snake is most popular in the region with many different species?,"	rattlesnake
"
234,Which of the Gospels most agrees with Athanasius?,"	Gospel of John
"
235,In what range of exposures does reciprocity usually work?,"	between 1/1000 second to 1/2 second
"
236,What is something that can be accomplished by a thermal mass system?,"	reduce overall heating and cooling requirements
"
237,How big is the sovereign territory of Israel?,"	20,770 square kilometers
"
238,What class did individuals who served as officials in the government belong to?,"	commoner social
"
239,Mandarin has stops and affricates that are distinguished by what?,"	aspiration
"
240,How long is the State Fair of Oklahoma?,"	10-day
"
241,What famous Roman figure visited Greece in 66 AD?,"	Nero
"
242,How many feet above sea level is Oklahoma's lowest point?,"	289
"
243,"In the US, which region is the highest by elevation?","	The Rocky Mountain
"
244,What types of stimuli can't some sensory fibers differentiate between?,"	noxious and non-noxious
"
245,What insect was detected in 2007?,"	coconut rhinoceros beetle
"
246,In what neighborhood is Bicentennial Park located?,"	Downtown
"
247,Who required the Benedictine monks to maintain a charity school?,"	the Pope
"
248,What three counties are Native Americans a majority?,"	Big Horn, Glacier, and Roosevelt
"
249,How many votes do the member clubs of the Premier League have each?,"	one
"
250,where was jesse saunders from?,"	Chicago
"
251,What is Hanover's ranking in terms of size in Germany?,"	thirteenth largest
"
252,Which diplomat helped gather information on the country of Anxi?,"	Zhang Qian
"
253,What are annelids' body cavities separated from each other by?,"	vertical mesenteries
"
254,What did Julian try to do to Athanasius?,"	expulsion
"
255,For what reasons are elevators routed one-by-one?,"	when they reach a pre-determined passenger load, or when they have had their doors opened for a certain period of time
"
256,What type of law is still in practice in which heresy results in execution?,"	Sharia law
"
257,Why did Sell consider the questions regarding sexual attraction the most important?,"	sexual attraction is a better reflection of the concept of sexual orientation
"
258,Who ultimately deserved credit for the discovery of Neptune? ,"	Le Verrier and Adams
"
259,What are dogs known to ingest?,"	Pennies
"
260,What local stone was used in the construction of many Plymouth buildings?,"	limestone
"
261,What is the amount of bacteria in human intestines?,"	over 1,000 bacterial species
"
262,What algae is the ancestor of true plants?,"	Charophyta
"
263,When did Demetrius Poliorcetes capture Athens?,"	307
"
264,What does architectural monumentality often represent?,"	political power
"
265,Which group held secret Milleneum of Christianity celebrations?,"	Ukrainian Catholics
"
266,What color is typical for Gram-negative bacteria after staining?,"	pink
"
267,Who wrote the Preliminary Discourse to the Encyclopedia of Diderot?,"	d'Alembert's
"
268,How many more nights after the first day did protests last?,"	two
"
269,What was the name for a pub that could sell beer from more than one brewery?,"	a Free house
"
270,"An entity is a sum of relations, a valuation of them and what else?","	reaction to them.
"
271,What word is used in France for comics?,"	bandes dessinées
"
272,What would often lead Rome to wage war in foreign lands?,"	defense of an ally
"
273,Who won the last race of the European Grand Prix in 2012?,"	Fernando Alonso
"
274,Whose writings led to the clerical belief in the divinity of light?,"	Pseudo-Dionysius
"
275,How many autonomous republics make up the RSFSR?,"	sixteen
"
276,What type of ships are particularly well defended?,"	Carrier battle groups
"
277,Maudlin argues that the passage of time is what kind of asymmetry?,"	intrinsic
"
278,"What was the first name of Sony Music Entertainment, Inc?","	American Record Corporation
"
279,Who resisted the Nazi idea of uniting all Germans from the get go?,"	The Swiss
"
280,"Along with controversy and schism, what upset the peace of the Church during the Late Middle Ages?","	heresy
"
281,How long ago did people start living in the area?,"	Approximately 10,000 years ago
"
282,What type of genes are necessary for performing basic cell functions?,"	Housekeeping genes
"
283,What is the second most common language spoken in Montana?,"	Spanish
"
284,Which king fled the country in 1941?,"	King Peter II
"
285,When did Aribau write Ode to the Homeland?,"	1833
"
286,Why do photos show take on horns?,"	help mute these resonances
"
287,Who was the first person to speak on BBC when it was turned back on following World War II?,"	Jasmine Bligh
"
288,What is another name for standard written chinese?,"	Mandarin
"
289,What was the average number of people in a Plymouth household?,"	2.3
"
290,In what year was the Fall of France?,"	1940
"
291,The design of USB is asymmetrical in what?,"	its topology
"
292,What buddhist belief says that Buddhas come one at a time and not within other eras?,"	Theravada
"
293,How large were the donations from the program?,"	Donations of the evening totalled 1.5 billion Chinese Yuan
"
294,What part of Oklahoma is Cross Timbers in?,"	Central
"
295,To what dynasty did Henry II belong?,"	Angevin
"
296,Why did Kim Il-Sung redeploy his military troops?,"	to defend Seoul
"
297,What legal action did some disgruntled OtherOS users take against Sony?,"	class action lawsuits
"
298,In what year did Guinea-Bissau start to bring some internal monetary stability to the country?,"	1997
"
299,What was the award in 1998 for?,"	Inside Black Australia
"
300,What showed the importance of Utrecht,"	Utrecht as a centre of Christianity is illustrated by the election of the Utrecht-born Adriaan Florenszoon Boeyens as pope in 1522
"
301,In what year did Newton die?,"	1727
"
302,Where was the satellite dish installed?,"	The Briars
"
303,How many beer houses existed throughout Britain eight years after the passage of the Beer Act?,"	46,000
"
304,Which idea is the controversy of affirmative action primarily based upon?,"	class inequality
"
305,What was the name of the tour featuring both Beyoncé and Jay Z?,"	On the Run Tour.
"
306,In what year did a coup take place and new dictatorship form?,"	1936
"
307,What is Occitan a branch of?,"	Western Romance
"
308,When did Andragoras proclaim his independence?,"	247 BC
"
309,As of what year was hard rock a mainstream type of music?,"	1965
"
310,In recognition of what event was the color red adopted for Arsenal shirts?,"	charitable donation
"
311,Evidence suggests that many Early mahayana scriptures originated in what part of India?,"	South
"
312,After Findlay's charting how many islands of the group were named Ellice?,"	all nine islands
"
313,What is considered to be the lifeline of Guam?,"	The Commercial Port
"
314,What Microsoft executive announced the launch of version 2.0 of Mediaroom?,"	Steve Ballmer
"
315,Where does most of the Bangladeshi population in Detroit live?,"	A portion of Detroit next to eastern Hamtramck
"
316,In what century did Saint Nicholas become the influence for red being worn by Santa Claus?,"	4th
"
317,What decorative vocabulary did Georgian designs draw from?,"	ancient Rome or Greece
"
318,"Along with economic aid, what assistance does the Compact of Free Association provide?","	technical aid
"
319,At what age was Spielberg embarrassed by his family being Jewish?,"	seven, eight, nine years old
"
320,On what day does the main parade take place?,"	Saturday
"
321,What metropolitan area has the largest population?,"	Tel Aviv
"
322,What did Chopin tell a student is given up in concerts?,"	hearing in them all the most beautiful things of art
"
323,What was Pangaea's southern continent called?,"	Gondwana
"
324,How many monuments can be found in Byrd Park?,"	two
"
325,What has helped geneologists researching slaves?,"	Colonial records of French and Spanish slave ships and sales, and plantation records in all the former colonies
"
326,What happens when members increase their deposits?,"	more money has been put into the economy
"
327,Which group's study suggested that Basel accords encourage unconventional business practices?,"	OECD
"
328,What percentage of the population speaks Portuguese?,"	14%
"
329,What made the Eastern Empire be known as the Imperium Graecorum ?,"	Pope Leo III crowned Charlemagne, king of the Franks, as the ""Roman Emperor""
"
330,What was the population density in Hyderabad in 2011?,"	18,480/km2 (47,900/sq mi)
"
331,Which military branch helped the Old West's inadequate local police?,"	The Army
"
332,How many contestants were able to perform for two weeks without any eliminations?,"	four
"
333,What year was South Tuscon reincorperated? ,"	1940
"
334,Which friend received the letter in which Chopin referenced Liszt?,"	Woyciechowski
"
335,"Pottery, weavings and carvings are just some of the contributions to art by which peoples? ","	indigenous
"
336,Which sultan distrusted his admirals during the Russo-Turkish war?,"	Sultan Abdülhamid II
"
337,How many people were widows or widowers in Bern in 2000?,"	9,468
"
338,"Where do Jem, Scout, and Dill observe the trial of Tom Robinson?","	balcony
"
339,What type of misconduct have comprehensive schools been alleged of engaging in?,"	grade inflation
"
340,What was the most people that Highbury stadium could host?,"	60,000
"
341,How were the disks purchased?,"	buyers could select a title and have it written to the disk
"
342,What was an intellectual focus of post-punk?,"	postmodernism
"
343,Who issued the first Papal prounouncement against Freemasonry?,"	Pope Clement XII
"
344,Which country did the Pact conquer?,"	Czechoslovakia
"
345,What is an objection to the idea of subspecies because it doesn't specify this?,"	degree of differentiation
"
346,"What concert did Philly host on July13th, 1985?","	Live Aid
"
347,What is one of the largest Protestant branches with 80 million members?,"	Lutheranism
"
348,How is the meaning of Dukkha explained?,"	craving
"
349,Is a person's brain fully developed by the time they reach puberty?,"	not
"
350,What is the largest section of mosaic still present in the Umayyad Mosque?,"	the ""Barada Panel""
"
351,When was the North lost to the Jurchen Jin dynasty?,"	1127
"
352,How did the war impact France financially?,"	had saddled itself with heavy war debts that its inefficient financial system could barely handle
"
353,High pitch is what type of oscillation?,"	rapid
"
354,What new footage did Columbia require for a Close Encounters revisit?,"	the interior of the mothership
"
355,What does UNAIDS consider universal access to HIV/AIDS treatment?,"	80% coverage or greater
"
356,What the crew perceives as seconds might be seen as how long to a stationary observer?,"	hundreds of years
"
357,Who was responsible for an expedition against the Parthian Kingdom?,"	Crassus
"
358,Where are there still populations of indigenous peoples?,"	Many parts of the Americas
"
359,When did India and Pakistan fight in Punjab?,"	1965 and 1971
"
360,What is the the strata of predator prey interaction called?,"	trophic level
"
361,What might a suspect use to challenge their detention?,"	writ of habeas corpus
"
362,"In 2007, what was the average amount of km's travelled by eacg Swiss citizens on the rails?","	2,258
"
363,What is the minimum bit rate for compressed video and audio transmission?,"	128 kilobits/s
"
364,What vitamin does sunlight help the human body absorb?,"	vitamin D
"
365,What have Political Economists most recently focused on the issues of?,"	industrial (and post-industrial) capitalism
"
366,What was NW Fifth Avenue previously called?,"	Avenue J
"
367,What is the Christian God called?,"	Yahweh and Jehovah
"
368,Which families experienced the least decline in wealth between 2007 and 2009?,"	poorest families
"
369,What tree leaves did Androsthenes describe?,"	tamarind
"
370,Where are teeth found?,"	in the jaws (or mouths)
"
371,What is true of acts such as genocide and piracy in regard to treaty law?,"	no state can legally assume an obligation to commit or permit such acts
"
372,Which former colonies still have tight monopolies on cotton brokering?,"	French
"
373,What Libyan government official allegedly plotted to kill Gaddafi in 1978?,"	head of military intelligence
"
374,What was the name of the journalist that wrote about Kanye's album in 2012?,"	Matthew Trammell
"
375,Who found evidence that where the media had freedom there was less political corruption?,"	Brunetti and Weder
"
376,Which of Popper's works was the first to grasp Hayek's attention?,"	Logik der Forschung
"
377,What conclusion do most of Hume's followers disagree with?,"	that belief in an external world is rationally unjustifiable
"
378,Do non-Christians agree that the Crucifixion happened?,"	the crucifixion of Jesus is as certain as any historical fact can be
"
379,How long was Tom Playford in political power?,"	from the 1933 election to the 1965 election
"
380,Where is Egypt planning to build is first nuclear power plant?,"	El Dabaa city
"
381,How many Africans were shipped to the US between 1492 to 1888?,"	12 million
"
382,What two languages mentioned have have preaspirated [ʰp ʰt ʰk]?,"	Icelandic and Faroese
"
383,Church and state have been officially separated in Uruguay since what year?,"	1916
"
384,What name had not been used for a Pope since the year 1605?,"	""Paul""
"
385,What school of thought is closest to Vaisesika school?,"	Nyāya
"
386,What war resulted in Russia shrinking further during 1918?,"	the Russian Civil War
"
387,Who were extreme empiricists?,"	neopositivists
"
388,What two forms can aspiration be in?,"	allophonic or phonemic
"
389,Who invented crankshafts?,"	Muslim engineers
"
390,The most expensive office tower built in the world today is what?,"	One World Trade Center
"
391,What day did he die?,"	3 June 1963
"
392,What was the cost of Eisenhower's casket?,"	$80
"
393,What sort of response does the stimulus cause?,"	physiological
"
394,The state oil company NNPC was initially thought to owe how much to the government?,"	US$20 billion
"
395,What sport has been gaining steam as more and more women play?,"	gaelic football
"
396,What is a chapter of the Quran called?,"	sura
"
397,What country's passport did he have from 1835?,"	France
"
398,In which year was the Taylor Report published?,"	1990
"
399,What event prompted the burning of the US embassy in Libya?,"	Iran hostage crisis
"
400,What year did the U.S. Food and Drug Administration approve bedaquiline?,"	2012
"
401,When were Elizabeth and Philip married?,"	20 November 1947
"
402,Who was elected as the Mission's first municipal magistrate?,"	Juan María Osuna
"
403, Through what language did bitumen pass to reach English?,"	French
"
404,After what action by a state are its obligations under a treaty considered terminated?,"	withdrawal
"
405,What market share did Windows XP have in Chine?,"	49%
"
406,What is another name for the football?,"	soccer ball
"
407,Who was Britian's closest ally after the Crimean War?,"	Napoleon III
